Ticker,Close_Price
UANG.JK,290.0
PGUN.JK,585.0
SOFA.JK,66.0
PPGL.JK,99.0
TOYS.JK,
SGER.JK,352.0
TRJA.JK,145.0
PNGO.JK,1805.0
SCNP.JK,158.0
BBSI.JK,4020.0
KMDS.JK,635.0
PURI.JK,198.0
SOHO.JK,660.0
HOMI.JK,220.0
ROCK.JK,
ENZO.JK,35.0
PLAN.JK,41.0
PTDU.JK,20.0
ATAP.JK,28.0
VICI.JK,630.0
PMMP.JK,63.0
WIFI.JK,2020.0
FAPA.JK,5350.0
DCII.JK,158400.0
KETR.JK,202.0
DGNS.JK,163.0
UFOE.JK,198.0
BANK.JK,845.0
WMUU.JK,
EDGE.JK,3940.0
UNIQ.JK,452.0
BEBS.JK,
SNLK.JK,600.0
ZYRX.JK,115.0
LFLO.JK,206.0
FIMP.JK,96.0
TAPG.JK,915.0
NPGF.JK,28.0
LUCY.JK,133.0
ADCP.JK,50.0
HOPE.JK,44.0
MGLV.JK,127.0
TRUE.JK,15.0
LABA.JK,158.0
ARCI.JK,342.0
IPAC.JK,135.0
MASB.JK,3280.0
BMHS.JK,246.0
FLMC.JK,53.0
NICL.JK,1060.0
UVCR.JK,75.0
BUKA.JK,142.0
HAIS.JK,195.0
OILS.JK,95.0
GPSO.JK,414.0
MCOL.JK,4940.0
RSGK.JK,
RUNS.JK,49.0
SBMA.JK,117.0
CMNT.JK,865.0
GTSI.JK,42.0
IDEA.JK,42.0
KUAS.JK,52.0
BOBA.JK,157.0
MTEL.JK,665.0
DEPO.JK,234.0
BINO.JK,115.0
CMRY.JK,4490.0
WGSH.JK,167.0
TAYS.JK,64.0
WMPP.JK,
RMKE.JK,520.0
OBMD.JK,192.0
AVIA.JK,456.0
IPPE.JK,
NASI.JK,83.0
BSML.JK,72.0
DRMA.JK,1010.0
ADMR.JK,900.0
SEMA.JK,86.0
ASLC.JK,77.0
NETV.JK,159.0
BAUT.JK,22.0
ENAK.JK,740.0
NTBK.JK,50.0
SMKM.JK,51.0
STAA.JK,810.0
NANO.JK,27.0
BIKE.JK,605.0
WIRG.JK,88.0
SICO.JK,107.0
GOTO.JK,73.0
TLDN.JK,585.0
MTMH.JK,950.0
WINR.JK,25.0
IBOS.JK,30.0
OLIV.JK,22.0
ASHA.JK,12.0
SWID.JK,59.0
TRGU.JK,175.0
ARKO.JK,885.0
CHEM.JK,55.0
DEWI.JK,93.0
AXIO.JK,118.0
KRYA.JK,
HATM.JK,258.0
RCCC.JK,129.0
GULA.JK,308.0
JARR.JK,388.0
AMMS.JK,58.0
BUAH.JK,1785.0
CRAB.JK,250.0
MEDS.JK,50.0
COAL.JK,43.0
PRAY.JK,605.0
CBUT.JK,1065.0
BELI.JK,408.0
MKTR.JK,114.0
OMED.JK,172.0
BSBK.JK,53.0
PDPP.JK,492.0
KDTN.JK,121.0
ZATA.JK,9.0
NINE.JK,101.0
MMIX.JK,148.0
PADA.JK,17.0
ISAP.JK,12.0
VTNY.JK,133.0
SOUL.JK,39.0
ELIT.JK,195.0
BEER.JK,72.0
CBPE.JK,194.0
SUNI.JK,755.0
CBRE.JK,27.0
WINE.JK,252.0
BMBL.JK,16.0
PEVE.JK,344.0
LAJU.JK,50.0
FWCT.JK,158.0
NAYZ.JK,46.0
IRSX.JK,25.0
PACK.JK,2150.0
VAST.JK,114.0
CHIP.JK,1400.0
HALO.JK,53.0
KING.JK,208.0
PGEO.JK,1080.0
FUTR.JK,90.0
HILL.JK,294.0
BDKR.JK,131.0
PTMP.JK,60.0
SAGE.JK,14.0
TRON.JK,129.0
CUAN.JK,10150.0
NSSS.JK,282.0
GTRA.JK,131.0
HAJJ.JK,258.0
PIPA.JK,68.0
NCKL.JK,680.0
MENN.JK,43.0
AWAN.JK,334.0
MBMA.JK,362.0
RAAM.JK,286.0
DOOH.JK,112.0
JATI.JK,
TYRE.JK,150.0
MPXL.JK,122.0
SMIL.JK,254.0
KLAS.JK,134.0
MAXI.JK,50.0
VKTR.JK,89.0
RELF.JK,20.0
AMMN.JK,7025.0
CRSN.JK,120.0
GRPM.JK,55.0
WIDI.JK,18.0
TGUK.JK,105.0
INET.JK,173.0
MAHA.JK,169.0
RMKO.JK,89.0
CNMA.JK,161.0
FOLK.JK,50.0
HBAT.JK,46.0
GRIA.JK,92.0
PPRI.JK,216.0
ERAL.JK,276.0
CYBR.JK,1105.0
MUTU.JK,101.0
LMAX.JK,50.0
HUMI.JK,54.0
MSIE.JK,18.0
RSCH.JK,478.0
BABY.JK,390.0
AEGS.JK,29.0
IOTF.JK,187.0
KOCI.JK,51.0
